Timeline,Index,Time,IBTS Temp,Bean Probe Temp,IBTS ROR,Bean Probe ROR,Power Setting,Drum Setting,Fan Setting
,0,0:00,448.52,276.79999999999995,0,18,5,9,5
,1,0:01,447.62,276.98,-15,18.72,5,9,5
,2,0:02,445.28,277.34000000000003,-12,18.18,5,9,5
,3,0:03,77,277.7,0.4,8.82,6,9,2
,4,0:04,77.18,277.52,2.5,-11.34,6,9,2
,5,0:05,77.53999999999999,276.98,7.7,-48.42,6,9,2
,6,0:06,78.25999999999999,275.54,18,-100.44,6,9,2
,7,0:07,79.52,273.02,34.9,-163.98,6,9,2
,8,0:08,81.68,269.6,58.6,-226.26,6,9,2
,9,0:09,84.74000000000001,265.1,87.4,-276.48,6,9,2
,10,0:10,88.52,260.06,117.9,-306.54,6,9,2
,11,0:11,93.19999999999999,254.83999999999997,145.3,-318.42,6,9,2
,12,0:12,98.41999999999999,249.62,165.2,-315.36,6,9,2
,13,0:13,103.63999999999999,244.39999999999998,174,-306.18,7,9,2
,14,0:14,108.5,239.54,169.7,-292.86,7,9,2
,15,0:15,112.82,234.85999999999999,152.8,-279.54,7,9,2
,16,0:16,116.24,232.52,125.8,-273.6,7,9,2
,17,0:17,118.58,228.02,93.1,-261.36,7,9,2
,18,0:18,120.02,223.88,59.9,-248.4,7,9,2
,19,0:19,120.56,219.92000000000002,31.1,-235.08,7,9,2
,20,0:20,120.74,216.14,10.6,-222.84,7,9,2
,21,0:21,120.56,212.54,0.2,-209.88,7,9,2
,22,0:22,120.74,209.29999999999998,-0.4,-198.72,7,9,2
,23,0:23,121.1,206.06,6.7,-188.28,7,9,2
,24,0:24,121.63999999999999,203,17.9,-176.94,7,9,2
,25,0:25,122.72,200.29999999999998,29.6,-166.5,7,9,2
,26,0:26,123.98,197.6,39.1,-157.5,7,9,2
,27,0:27,125.41999999999999,195.07999999999998,45.3,-147.78,7,9,2
,28,0:28,126.86,192.73999999999998,48,-138.96,7,9,2
,29,0:29,128.3,190.57999999999998,48.2,-131.76,7,9,2
,30,0:30,129.74,188.42000000000002,47.1,-124.74,7,9,2
,31,0:31,131,186.44,45.7,-117.9,7,9,2
,32,0:32,132.44,184.46,44.4,-111.6,7,9,2
,33,0:33,133.7,182.66,43.4,-105.12,7,9,2
,34,0:34,134.95999999999998,181.04,43,-99,7,9,2
,35,0:35,136.22,179.42000000000002,43.2,-93.06,7,9,2
,36,0:36,137.66,177.98,43.8,-86.4,7,9,2
,37,0:37,138.92,176.72,45,-80.1,7,9,2
,38,0:38,140.36,175.46,46.7,-73.8,7,9,2
,39,0:39,141.8,174.2,48.8,-68.22,7,9,2
,40,0:40,143.42,173.12,51.3,-63.72,7,9,2
,41,0:41,145.04,172.22,54,-59.76,7,9,2
,42,0:42,146.83999999999997,171.14,57,-55.26,7,9,2
,43,0:43,148.64,170.42000000000002,60,-50.04,7,9,2
,44,0:44,150.62,169.52,62.7,-44.64,7,9,2
,45,0:45,152.6,168.98,65,-39.42,7,9,2
,46,0:46,154.57999999999998,168.26,66.4,-34.38,7,9,2
,47,0:47,156.56,167.72,67,-30.6,7,9,2
,48,0:48,158.54,167.35999999999999,66.6,-27.72,7,9,2
,49,0:49,160.52,167.17999999999998,65.2,-26.46,7,9,2
,50,0:50,162.32,166.64,63,-24.12,7,9,2
,51,0:51,164.12,166.27999999999997,59.9,-21.42,7,9,2
,52,0:52,165.73999999999998,165.92000000000002,55.9,-18.54,7,9,2
,53,0:53,167.17999999999998,165.73999999999998,51,-15.84,7,9,2
,54,0:54,168.44,165.56,45.3,-12.78,7,9,2
,55,0:55,169.52,165.38,39.1,-9.9,7,9,2
,56,0:56,170.42000000000002,165.2,32.8,-7.56,7,9,2
,57,0:57,171.14,165.02,27,-5.76,7,9,2
,58,0:58,171.85999999999999,165.02,22.4,-3.78,7,9,2
,59,0:59,172.4,165.02,19.6,-2.34,7,9,2
,60,1:00,172.94,165.02,19.1,-0.72,7,9,2
,61,1:01,172.94,165.02,19.1,1.44,7,9,2
,62,1:02,174.56,165.02,25.4,4.14,7,9,2
,63,1:03,175.46,165.2,31.5,6.66,7,9,2
,64,1:04,176.72,165.2,38.6,9,7,9,2
,65,1:05,178.16,165.38,45.6,10.8,7,9,2
,66,1:06,179.77999999999997,165.56,51.4,11.88,7,9,2
,67,1:07,181.57999999999998,165.92000000000002,54.9,12.78,7,9,2
,68,1:08,183.2,166.1,55.5,13.68,7,9,2
,69,1:09,184.64,166.27999999999997,53.1,14.4,7,9,2
,70,1:10,186.07999999999998,166.46,48.1,15.12,7,9,2
,71,1:11,187.16,166.82,41,16.38,7,9,2
,72,1:12,188.06,167.17999999999998,32.9,17.46,7,9,2
,73,1:13,188.77999999999997,167.35999999999999,24.8,18.54,7,9,2
,74,1:14,189.14,167.72,17.7,19.26,7,9,2
,75,1:15,189.5,168.07999999999998,12.2,20.34,7,9,2
,76,1:16,189.67999999999998,168.44,9,21.24,7,9,2
,77,1:17,190.04,168.79999999999998,8.5,22.5,7,9,2
,78,1:18,190.4,169.16,10.5,24.84,7,9,2
,79,1:19,190.94,169.7,14.9,26.46,7,9,2
,80,1:20,191.66,170.06,21.3,27.72,7,9,2
,81,1:21,192.56,170.6,28.9,28.62,7,9,2
,82,1:22,193.82,170.77999999999997,36.9,28.98,7,9,2
,83,1:23,195.26,171.32,44.3,28.62,7,9,2
,84,1:24,196.7,171.67999999999998,50.4,28.08,7,9,2
,85,1:25,198.5,172.22,54.5,28.8,7,9,2
,86,1:26,200.12,172.76,56.4,29.16,7,9,2
,87,1:27,201.73999999999998,173.12,56.2,29.16,7,9,2
,88,1:28,203.35999999999999,173.66,54.1,29.16,7,9,2
,89,1:29,204.79999999999998,174.2,50.6,29.52,7,9,2
,90,1:30,206.23999999999998,174.73999999999998,46.6,29.88,7,9,2
,91,1:31,207.5,175.1,42.4,30.24,7,9,2
,92,1:32,208.57999999999998,175.64,38.7,30.78,7,9,2
,93,1:33,209.66,176.17999999999998,35.7,31.5,7,9,2
,94,1:34,210.56,176.72,33.4,32.22,7,9,2
,95,1:35,211.46,177.26,32,32.58,7,9,2
,96,1:36,212.35999999999999,177.79999999999998,31.2,32.94,7,9,2
,97,1:37,213.44,178.33999999999997,30.8,33.84,7,9,2
,98,1:38,214.33999999999997,178.88,30.4,34.02,7,9,2
,99,1:39,215.23999999999998,179.42000000000002,30,33.66,7,9,2
,100,1:40,215.96,180.14,29.4,33.3,7,9,2
,101,1:41,216.85999999999999,180.67999999999998,28.5,33.3,7,9,2
,102,1:42,217.76,181.22,27.4,32.94,7,9,2
,103,1:43,218.48,181.76,26.3,33.12,7,9,2
,104,1:44,219.2,182.29999999999998,25.5,33.12,7,9,2
,105,1:45,219.92000000000002,182.83999999999997,24.9,32.76,7,9,2
,106,1:46,220.64,183.38,24.7,32.22,7,9,2
,107,1:47,221.35999999999999,183.92000000000002,24.7,31.68,7,9,2
,108,1:48,222.07999999999998,184.46,24.6,31.32,7,9,2
,109,1:49,222.79999999999998,185,24.2,30.96,7,9,2
,110,1:50,223.52,185.54,23.2,31.86,7,9,2
,111,1:51,224.23999999999998,186.07999999999998,21.3,32.58,7,9,2
,112,1:52,224.6,186.62,18.4,34.38,7,9,2
,113,1:53,225.14,187.16,14.7,35.46,7,9,2
,114,1:54,225.32,187.7,10.8,37.44,7,9,2
,115,1:55,225.5,188.06,7.3,37.8,7,9,2
,116,1:56,225.67999999999998,188.77999999999997,5.2,38.7,7,9,2
,117,1:57,225.67999999999998,189.32,5.2,38.52,7,9,2
,118,1:58,226.04,190.04,7.7,37.98,7,9,2
,119,1:59,226.57999999999998,190.57999999999998,12.7,37.26,7,9,2
,120,2:00,227.29999999999998,191.29999999999998,19.7,37.08,7,9,2
,121,2:01,228.2,191.83999999999997,27.6,36.36,7,9,2
,122,2:02,229.27999999999997,192.56,35,36.72,7,9,2
,123,2:03,230.54,193.1,40.8,37.08,7,9,2
,124,2:04,231.98,193.64,43.7,37.08,7,9,2
,125,2:05,233.23999999999998,194.35999999999999,43.4,37.08,7,9,2
,126,2:06,234.32,194.9,39.7,36.36,7,9,2
,127,2:07,235.22,195.62,33.4,35.28,7,9,2
,128,2:08,235.94,196.16,25.4,34.2,7,9,2
,129,2:09,236.29999999999998,196.7,17.1,34.2,7,9,2
,130,2:10,236.48,197.23999999999998,10.1,34.02,7,9,2
,131,2:11,236.66,197.77999999999997,5.4,34.2,7,9,2
,132,2:12,236.83999999999997,198.32,3.7,34.74,7,9,2
,133,2:13,237.02,199.04,5.2,34.92,7,9,2
,134,2:14,237.37999999999997,199.57999999999998,9.1,34.92,7,9,2
,135,2:15,237.73999999999998,200.12,14.6,34.92,7,9,2
,136,2:16,238.46,200.66,20.5,35.1,7,9,2
,137,2:17,239.35999999999999,201.38,25.7,35.82,7,9,2
,138,2:18,240.26,201.92000000000002,29.3,36.72,7,9,2
,139,2:19,241.16,202.46,30.7,37.62,7,9,2
,140,2:20,242.06,203.17999999999998,29.9,37.62,7,9,2
,141,2:21,242.77999999999997,203.72,26.9,37.44,7,9,2
,142,2:22,243.32,204.44,22.3,36,7,9,2
,143,2:23,243.85999999999999,204.98,16.9,34.38,7,9,2
,144,2:24,244.04,205.52,11.5,33.48,7,9,2
,145,2:25,244.22,206.06,6.7,33.12,7,9,2
,146,2:26,244.39999999999998,206.6,3.1,33.12,7,9,2
,147,2:27,244.39999999999998,206.96,1.2,33.84,7,9,2
,148,2:28,244.39999999999998,207.5,0.9,34.92,7,9,2
,149,2:29,244.39999999999998,208.04,2.3,34.56,7,9,2
