Timeline,Index,Time,IBTS Temp,Bean Probe Temp,IBTS ROR,Bean Probe ROR,Power Setting,Drum Setting,Fan Setting
,0,0:00,441.5,252.67999999999998,-30,23.94,9,9,3
,1,0:01,436.09999999999997,253.04,-48,16.92,9,9,3
,2,0:02,431.96,253.04,-30,11.34,9,9,3
,3,0:03,77,253.04,-5916,-3.96,9,9,1
,4,0:04,77,252.85999999999999,1.2,-22.14,8,9,1
,5,0:05,77.36,252.14,5.8,-41.94,8,9,1
,6,0:06,78.08,251.23999999999998,16.7,-60.66,8,9,1
,7,0:07,79.52,249.98,37.9,-82.26,8,9,1
,8,0:08,82.22,248.17999999999998,71.6,-108.36,8,9,1
,9,0:09,86.53999999999999,246.02,117.9,-136.98,8,9,1
,10,0:10,92.47999999999999,243.5,172.9,-168.66,8,9,1
,11,0:11,100.03999999999999,240.26,228.7,-200.16,8,9,1
,12,0:12,108.86,236.48,276.1,-225.18,8,9,1
,13,0:13,118.22,232.52,305.4,-242.1,8,9,1
,14,0:14,127.22,228.37999999999997,309,-253.98,8,9,1
,15,0:15,135.14,224.06,283.5,-260.46,8,9,1
,16,0:16,141.07999999999998,219.73999999999998,230.4,-261.9,8,9,1
,17,0:17,144.68,215.42000000000002,155.8,-260.1,8,9,1
,18,0:18,145.76,211.1,70.2,-253.98,8,9,1
,19,0:19,144.32,206.96,-14.6,-243.72,8,9,1
,20,0:20,140.89999999999998,203,-86.7,-231.84,8,9,1
,21,0:21,136.22,199.4,-137.5,-219.6,8,9,1
,22,0:22,131.18,195.79999999999998,-162.6,-207.54,8,9,1
,23,0:23,126.5,192.56,-162.3,-196.38,8,9,1
,24,0:24,122.72,189.32,-141.8,-185.94,8,9,1
,25,0:25,120.02,186.44,-108.9,-175.32,8,9,1
,26,0:26,118.22,183.56,-72.4,-165.06,8,9,1
,27,0:27,118.22,181.04,-72.4,-154.62,8,9,1
,28,0:28,117.32,178.52,-12.6,-144.54,8,9,1
,29,0:29,117.67999999999999,176.17999999999998,5.7,-135.72,8,9,1
,30,0:30,118.39999999999999,174.02,17.2,-127.62,8,9,1
,31,0:31,119.11999999999999,172.04,23.9,-120.42,8,9,1
,32,0:32,120.02,170.06,28,-113.76,8,9,1
,33,0:33,120.91999999999999,168.26,31,-106.56,8,9,1
,34,0:34,122,166.64,33.7,-99.18,8,9,1
,35,0:35,123.08,165.92000000000002,36.6,-96.12,8,9,1
,36,0:36,124.33999999999999,164.29999999999998,39.8,-90,8,9,1
,37,0:37,125.78,162.85999999999999,43.1,-83.88,8,9,1
,38,0:38,127.22,161.6,46.4,-78.12,8,9,1
,39,0:39,128.66,160.33999999999997,49.4,-72.54,8,9,1
,40,0:40,130.28,159.26,52,-67.5,8,9,1
,41,0:41,131.89999999999998,158.17999999999998,54,-62.28,8,9,1
,42,0:42,133.51999999999998,157.1,55.5,-56.7,8,9,1
,43,0:43,135.32,156.2,56.4,-51.84,8,9,1
,44,0:44,136.94,155.48,56.6,-46.98,8,9,1
,45,0:45,138.56,154.76,56.3,-42.12,8,9,1
,46,0:46,140.36,154.04,55.5,-37.8,8,9,1
,47,0:47,141.98000000000002,153.5,54.4,-34.38,8,9,1
,48,0:48,143.42,152.95999999999998,53.1,-31.14,8,9,1
,49,0:49,145.04,152.6,52,-27.72,8,9,1
,50,0:50,146.48000000000002,152.06,51.1,-23.94,8,9,1
,51,0:51,148.1,151.7,50.5,-20.34,8,9,1
,52,0:52,149.54,151.52,49.8,-16.38,8,9,1
,53,0:53,150.98,151.16,48.9,-13.14,8,9,1
,54,0:54,152.42000000000002,150.98,47.4,-10.8,8,9,1
,55,0:55,153.67999999999998,150.8,44.9,-9,8,9,1
,56,0:56,154.94,150.8,41.5,-6.84,8,9,1
,57,0:57,156.02,150.62,37.4,-5.04,8,9,1
,58,0:58,156.92000000000002,150.62,33.2,-2.7,8,9,1
,59,0:59,157.82,150.62,29.7,0.36,8,9,1
,60,1:00,158.54,150.62,27.5,3.06,8,9,1
,61,1:01,159.44,150.8,27.1,5.22,8,9,1
,62,1:02,160.33999999999997,150.8,28.6,7.02,8,9,1
,63,1:03,161.23999999999998,150.98,31.4,8.28,8,9,1
,64,1:04,162.32,151.16,34.9,9,8,9,1
,65,1:05,163.57999999999998,151.33999999999997,38.2,9.9,8,9,1
,66,1:06,164.83999999999997,151.52,40.3,11.34,8,9,1
,67,1:07,165.92000000000002,151.52,40.7,12.06,8,9,1
,68,1:08,167.17999999999998,151.88,39.4,14.04,8,9,1
,69,1:09,168.26,152.06,36.7,15.84,8,9,1
,70,1:10,169.16,152.42000000000002,33.6,18.18,8,9,1
,71,1:11,170.06,152.6,31,20.7,8,9,1
,72,1:12,170.96,152.95999999999998,29.6,22.14,8,9,1
,73,1:13,170.96,153.5,29.6,23.22,8,9,1
,74,1:14,172.94,153.86,32.2,24.48,8,9,1
,75,1:15,174.02,154.22,35.6,24.84,8,9,1
,76,1:16,175.27999999999997,154.57999999999998,39.2,25.02,8,9,1
,77,1:17,176.54,155.12,42.1,25.56,8,9,1
,78,1:18,177.79999999999998,155.48,43.3,26.28,8,9,1
,79,1:19,179.06,156.02,42.4,26.64,8,9,1
,80,1:20,180.14,156.38,39.5,27,8,9,1
,81,1:21,181.22,156.92000000000002,35,27.72,8,9,1
,82,1:22,181.94,157.27999999999997,29.9,28.8,8,9,1
,83,1:23,182.66,157.82,25.2,30.06,8,9,1
,84,1:24,183.38,158.36,21.9,31.32,8,9,1
,85,1:25,183.92000000000002,158.89999999999998,20.4,32.4,8,9,1
,86,1:26,184.64,159.44,20.9,32.94,8,9,1
,87,1:27,185.35999999999999,159.98,23.2,33.12,8,9,1
,88,1:28,186.07999999999998,160.52,26.6,33.3,8,9,1
,89,1:29,187.16,161.06,30.4,32.76,8,9,1
,90,1:30,188.23999999999998,161.6,33.9,33.12,8,9,1
,91,1:31,189.32,162.14,36.6,33.3,8,9,1
,92,1:32,190.4,162.67999999999998,38.2,33.3,8,9,1
,93,1:33,191.66,163.4,38.7,33.84,8,9,1
,94,1:34,192.73999999999998,163.94,38.1,34.56,8,9,1
,95,1:35,193.82,164.48,36.8,34.92,8,9,1
,96,1:36,194.9,165.02,35,35.1,8,9,1
,97,1:37,195.79999999999998,165.56,32.9,35.28,8,9,1
,98,1:38,196.7,166.27999999999997,30.6,35.82,8,9,1
,99,1:39,197.42000000000002,166.82,28,36,8,9,1
,100,1:40,198.14,167.17999999999998,25.1,36,8,9,1
,101,1:41,198.85999999999999,167.72,21.8,36.18,8,9,1
,102,1:42,199.4,168.26,18.4,36.54,8,9,1
,103,1:43,199.76,168.98,14.9,36.54,8,9,1
,104,1:44,200.12,169.52,11.9,36.54,8,9,1
,105,1:45,200.29999999999998,170.23999999999998,9.7,37.26,8,9,1
,106,1:46,200.66,170.77999999999997,8.8,37.8,8,9,1
,107,1:47,200.83999999999997,171.5,9.4,38.52,8,9,1
,108,1:48,201.38,172.04,11.8,39.24,8,9,1
,109,1:49,201.92000000000002,172.76,15.8,39.6,8,9,1
,110,1:50,202.64,173.48,21.1,39.6,8,9,1
,111,1:51,203.35999999999999,174.02,27.2,39.6,8,9,1
,112,1:52,204.44,174.73999999999998,33.3,39.06,8,9,1
,113,1:53,205.7,175.27999999999997,38.9,37.98,8,9,1
,114,1:54,207.14,176,43.3,37.08,8,9,1
,115,1:55,208.57999999999998,176.54,46.2,36.72,8,9,1
,116,1:56,209.83999999999997,177.26,47.2,36,8,9,1
,117,1:57,211.27999999999997,177.79999999999998,46.7,35.64,8,9,1
,118,1:58,212.54,178.33999999999997,44.6,35.64,8,9,1
,119,1:59,213.79999999999998,179.06,41.4,36.18,8,9,1
,120,2:00,214.88,179.6,37.5,36.9,8,9,1
,121,2:01,215.77999999999997,180.32,33.1,37.8,8,9,1
,122,2:02,216.67999999999998,180.85999999999999,28.5,38.7,8,9,1
